# Cube Mapping Log

# Final Cube Coordinates
[DC:A6:32:9A:78:50] Key: 11, Coords: (0, 0, 0)
[DC:A6:32:9A:77:48] Key: 28, Coords: (-1, -1, -1)
[DC:A6:32:9A:77:C0] Key: 29, Coords: (-1, -1, -1)
[DC:A6:32:9A:77:21] Key: 79, Coords: (-1, -1, -1)
[DC:A6:32:9A:77:F3] Key: 89, Coords: (-1, -1, -1)
[DC:A6:32:9A:78:8C] Key: 152, Coords: (-1, -1, -1)
[DC:A6:32:9A:78:3E] Key: 184, Coords: (-1, -1, -1)
[DC:A6:32:9A:8D:D1] Key: 215, Coords: (-1, -1, -1)
[DC:A6:32:9A:77:73] Key: 215, Coords: (-1, -1, -1)
[DC:A6:32:9A:77:A1] Key: 228, Coords: (-1, 0, 0)
[DC:A6:32:70:EA:90] Key: 244, Coords: (1, 0, 0)
[E4:5F:01:D3:E0:72] Key: 254, Coords: (-1, -1, -1)

# Raw Reports
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:70:EA:90 | LEFT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:78:50 | DC:A6:32:9A:77:A1 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:70:EA:90 | RIGHT
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:48 | DC:A6:32:9A:77:F3 | BOTTOM
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:A1 | LEFT
DC:A6:32:9A:77:C0 | DC:A6:32:9A:77:73 | RIGHT
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
DC:A6:32:9A:77:C0 | E4:5F:01:D3:E0:72 | BOTTOM
